customer_node,node_name,customer_number,customer_name_1,customer_name_2,country,city,region,postal_code,house_number_and_street,first_telephone_number,email_address,dso_type_2
0000045551,Hammad Larson Dentistry,0041525593,Dr. Jessica Ballantyne,"",CA,EXETER,ON,N0M 1S3,220 Main Street North,226-799-5553,ballantynejess@gmail.com,DSO/GPO
0000043431,BLUE OCEAN DENTAL GROUP,0041524132,BELMONT DENTAL CENTRE,BLUE OCEAN DENTAL GROUP,CA,LANGFORD,BC,V9B 0W9,121-3039 MERCHANT WAY,778-265-5075,invoice@blueoceandentalgroup.com,DSO/GPO
0000042649,SMILE FIRST CORPORATION,0041508405,DENTISTRY FOR YOU,SMILEFIRST,CA,WOODBRIDGE,ON,L4L 1A6,4000 HWY 7 UNIT 3,905-264-7222,"",DSO/GPO
0000045399,Smiles of Canada,0041526008,Gander Smiles Dentistry,"",CA,GANDER,NL,A1V 2S3,62 Elizabeth Street,709 651 0994,gander@smilesofcanada.com,DSO/GPO
0000044256,FIVE POINT DENTAL SPECIALISTS,0041510424,CORONATION DENTAL SPECIALTY GROUP-W,"Drs. Diamond, Ciavarro, Furst, & Ch",CA,WOODSTOCK,ON,N4S 6M3,58 RIDDELL STREET,519 623 3810,finance@fivepointdentalspecialists.com,DSO/GPO
0000043643,DENTALCORP HEALTH SERVICES ULC,0041523327,CLINIQUE D’ORTHODONTIE FLORENCE MOR,DR. GASTON COUTSIERS MORELL,CA,SAINT-HUBERT,QC,J3Y 8Z4,201-6900 BOULEVARD COUSINEAU,450 500 0562,coutsiers.gaston@gmail.com,DSO/GPO
0000040351,"2663065 ONTARIO, INC.",0041518978,TERRITORIAL DENTAL CLINIC,"ULLAS KAPOOR, DMD",CA,NORTH BATTLEFORD,SK,S9A 3W6,1304 - 9800 TERRITORIAL DRIVE,306-446-4434,INFO@TERRITORIALDENTAL.COM,DSO/GPO
0000040293,MYBITE CALGARY - SOUTHPORT,0041515660,SKY Prosthetics Opperating at Bite,"",CA,CALGARY,AB,T2W 4Y1,1050 - 10655 SOUTHPORT ROAD SW,403-269-5344,info@bitelab.ca,Private Practice
0000044468,ORAMAX,0041502097,Oramax,Att:  Kathy,CA,WESTMOUNT,QC,H3Z 1B8,610-4141 Sherbrooke Street West,514-932-5331,"",Private Practice
0000043512,OAK DENTAL GROUP,0041519553,SHERWOOD FORREST DENTAL,OAK DENTAL GROUP,CA,MISSISSAUGA,ON,L5K 2R9,4 - 1960 DUNDAS STREET WEST,905-855-0076,SHERWOODFORRESTDENTAL@GMAIL.COM,DSO/GPO
0000043605,PASSION DENTAL GROUP,0041514783,BLACKFALDS DENTAL CENTRE,DR. ROBERT MAST,CA,BLACKFALDS,AB,T0M 0J0,2 - 5021 PARKWOOD ROAD PO1600,403-885-5765,ap@passiondental.ca,DSO/GPO
0000041275,Apple Dental,0041522778,APPLE DENTAL IMPLANT CENTRE,NEW WESTMINSTER,CA,NEW WESTMINSTER,BC,V3L 0E3,293 NELSON'S COURT,604-544-6544,newwestminster@appleimplantcentre.com,DSO/GPO
0000045302,Peak Dental Group,0041525872,Peak Dental Group - Nolanridge,"",CA,CALGARY,AB,T3R 1W7,135 - 155 Nolanridge Court NW,587 200 5742,samgill@peakdentalgroup.ca,DSO/GPO
0000042941,DENTAL WHALE - B CANADA,0041523780,SMILING DENTAL DUNDAS,DR. MICHAEL LING,CA,DUNDAS,ON,L9H 1A9,4 COOTES DRIVE,289 768 9905,michaeljeffreyling@gmail.com,Private Practice
0000043521,DENTISTES QUEBEC,0041522026,DENTISTES LA PRAIRIE,DR.MELYSSA MCKAY-NICOLE,CA,LA PRAIRIE,QC,J5R 4S4,871 CHEMIN DE SAINT-JEAN,450-659-0333,factureslaprairie@gmail.com,DSO/GPO
0000039636,DMD GROUP,0041520114,SMILETOWN DENTISTRY NORTH DELTA,"",CA,DELTA,BC,V4C 1J9,111-7511 120 STREET,778-564-1095,"",DSO/GPO
0000038425,SHAW LABS LIMITED,0041502494,Shaw Kingston,"",CA,Kingston,ON,K7M 8N9,"24 Steve Fonyo Drive, Box 151",613-548-7854,aking@shawlabgroup.com,Private Practice
0000043720,Les Cliniques Dentaires Transforme,0041525022,LES CLINIQUES DENTAIRES TRANSFORME,TRANSFORME ORTHODONTIE,CA,SAINT-HUBERT,QC,J3Y 8N1,112 - 7171 BOUL COUSINEAU,514 819 0995,dr.altalibi@smartortho.ca,DSO/GPO
0000045392,SMILE CENTRE,0041521741,SHELBURNE SMILE CENTER,DR. BEN VAN GALEN,CA,SHELBURNE,ON,L9V 2Z5,802  MAIN STREET EAST,519 925 6110,info@shelburnesmilecentre.ca,DSO/GPO
0000040133,AMITY MANAGEMENT,0041520598,SUMMERSMILES FAMILY DENTAL,"",CA,LONDON,ON,N6M 0B8,1319 COMMISSIONERS ROAD EAST,226-636-3000,sarah@amitymanagement.com,DSO/GPO
0000040197,DENTISTS AT NORTHGATE,0041519191,RUSTOM APPOO PROFESSIONAL DENTAL,CORPORATION,CA,EDMONTON,AB,T5G 3A6,108 KINGSWAY MALL NW,780-471-2102,angela@affinitydentalkingsway.ca,Private Practice
0000038894,CLAREO RESEAU DENTAIRE,0041519668,CLAREO SHAWVILLE,"",CA,SHAWVILLE,QC,J0X 2Y0,326 RUE MAIN,819 647 5271,"",DSO/GPO
0000043610,PURE ORTHODONTICS,0041524645,PURE ORTHODONTICS - SHERWOOD PARK,"",CA,SHERWOOD PARK,AB,T8H 0G2,175 - 2055 Premier Way,780 800 0402,"",DSO/GPO
0000040977,Dental Whale Canada,0041520847,Bella Dental,"",CA,BRIDGEWATER,NS,B4V 3K1,447 York St,902-530-7004,bruntjd@gmail.com,DSO/GPO
0000041377,HURON DENTAL GROUP,0041525957,DENTISTRY OF NIAGARA FALLS,"",CA,NIAGARA FALLS,ON,L2G 5Z4,5628 MAIN STREET,905-374-2295,"",DSO/GPO
0000037024,123 DENTIST INC.,0041505658,ALTIMA DENTAL-ERIN MILLS,123DENTIST,CA,MISSISSAUGA,ON,L5M 4Z5,5100 ERIN MILLS PARKWAY,905-569-6647,"",DSO/GPO
0000044560,DR. NAWAR TOUCHAN,0041511516,DR. NAWAR TOUCHAN,PERIODONTAL ASSOCIATES,CA,OTTAWA,ON,K1N 7W1,278 FRIEL STREET,613-789-3584,"",Private Practice
0000042778,DENTAL CHOICE,0041516486,PIPER CREEK DENTAL CHOICE,DENTAL CHOICE,CA,RED DEER,AB,T4N 1C7,5201 43 STREET,403 347 1525,manager@vistadentalcare.ca,DSO/GPO
0000041469,NATIONAL DENTAL CARE,0041509991,Langford Dental,National Dental Care,CA,VICTORIA,BC,V9B 0J3,111 - 866 GOLDSTREAM AVE,250-590-1059,ap@nationaldental.ca,DSO/GPO
0000039934,ENDO-PERIO GROUP,0041516954,PORT ALBERNI DENTAL & IMPLANT CENTR,DR. MICHELLE SAMOSINSKI,CA,PORT ALBERNI,BC,V9Y 4E7,3633 3RD AVENUE,250-724-6527,manager@portdental.com,Private Practice
0000033405,DENTALCORP HEALTH SERVICES ULC,0041513109,WESTSIDE DENTAL CENTRE,DENTALCORP HEALTH SERVICES LTD,CA,WEST KELOWNA,BC,V4T 3K3,115 - 2231 LOUIE DRIVE,250-707-0248,vijay.rai@westsidedc.ca,DSO/GPO
0000038901,MCA DENTAL GROUP,0041523527,Centrepointe Dental,MCA Dental,CA,NEPEAN,ON,K2G 5X3,117 Centrepointe Dr,613-224-8600,"",DSO/GPO
0000043644,123 DENTIST LEGACY,0041511356,MOUNT LEHMAN DENTAL,"",CA,ABBOTSFORD,BC,V4X 2M9,117 - 3250 MOUNT LEHMAN RD,604-856-7860,"",DSO/GPO
0000045551,Hammad Larson Dentistry,0041525602,Steven Tracogna DDS,"",CA,LUCAN,ON,N0M 1W0,100 Main Street,226-777-8079,steventracogna@gmail.com,DSO/GPO
0000043431,BLUE OCEAN DENTAL GROUP,0041515576,LATORIA DENTAL CENTRE,BLUE OCEAN DENTAL GROUP,CA,VICTORIA,BC,V9C 0C3,111-611 BROOKSIDE ROAD,778 265 5070,invoice@blueoceandentalgroup.com,DSO/GPO
0000042649,SMILE FIRST CORPORATION,0041514407,CLINIQUE DENTARIA,SMILEFIRST,CA,MONTREAL,QC,H3A 0B2,666 SHERBROOKE ST W,514-431-3410,info@cliniquedentaria.com,DSO/GPO
0000045399,Smiles of Canada,0041515295,Brandon Smiles Dentistry,"",CA,BRANDON,MB,R7A 4A9,10A-457 9th Street,877 392 0036,brandon@smilesofcanada.com,DSO/GPO
0000044256,FIVE POINT DENTAL SPECIALISTS,0041514846,Coronation Dental Specialty Group-B,"Drs. Diamond, Ciavarro, Furst, & Ch",CA,BRANTFORD,ON,N3R 8A3,2-184 Lynden Road,519 623 3810,finance@fivepointdentalspecialists.com,DSO/GPO
0000040351,"2663065 ONTARIO, INC.",0041521750,OXFORD DENTAL CLINIC,"",CA,NIPAWIN,SK,S0E 1E3,109 CENTER STREET,306-862-4515,info@oxforddentalcentre.ca,DSO/GPO
0000040293,MYBITE CALGARY - SOUTHPORT,0041504947,GRANDE PRAIRIE DENTURE CLINIC,"",CA,GRANDE PRAIRIE,AB,T8V 0X9,10017 101ST AVE,780-532-8141,GPDENTURE@MYBITE.CA,Private Practice
0000044468,ORAMAX,0041500860,Dr. Jeff C. Erdan,Oramax  Att:  Sharon,CA,WESTMOUNT,QC,H3Z 1B8,610-4141 Sherbrooke Street West,514-932-5331,jeff.erdan@sympatico.ca,Private Practice
0000043512,OAK DENTAL GROUP,0041523148,ROYAL OAK SMILES DENTAL,OAK DENTAL GROUP,CA,CALGARY,AB,T3G 5J7,112 - 500 ROYAL OAK DRIVE NW,403-374-6161,payable@oakdentalgroup.ca,DSO/GPO
0000043605,PASSION DENTAL GROUP,0041506231,DR. STACEY KREUZ,"",CA,CALGARY,AB,T3E 4P2,17-3919 RICHMOND ROAD S.W.,403-242-4303,ap@passiondental.ca,DSO/GPO
0000041275,Apple Dental,0041522772,APPLE DENTAL IMPLANT CENTRE - ABBOT,DO NOT USE  Duplicate account,CA,ABBOTSFORD,BC,V2T 0C5,B 255 - 3122 MOUNT LEHMAN ROAD,604-381-3399,abbotsford@appleimplantcentre.com,DSO/GPO
0000045302,Peak Dental Group,0041515715,PROGRACE DENTISTRY BRENTWOOD,DR. GURSHANT GREWAL,CA,CALGARY,AB,T2L 1K8,233-3630 BRENTWOOD ROAD,403-288-8080,progracedental@gmail.com,DSO/GPO
0000042941,DENTAL WHALE - B CANADA,0041518752,WAVE DENTISTRY,DR. RON GAUDET,CA,WHITE ROCK,BC,V4A 6E7,200 - 1656 MARTIN DRIVE,604-538-9283,celeste@wavedentistry.com,DSO/GPO
0000043521,DENTISTES QUEBEC,0041522415,CLINIQUE DENTAIRE DANIELLE CAILLE E,"",CA,COWANSVILLE,QC,J2K 1J4,753 RUE PRINCIPALE,(450) 266 2429,Joanie@dentistesquebec.com,DSO/GPO
0000039636,DMD GROUP,0041500026,GUILDFORD HEIGHTS DENTAL,"",CA,SURREY,BC,V3R 4G8,10 - 10330 152nd Street,604-581-4060,office@guildfordheightsdental.com,DSO/GPO
0000038425,SHAW LABS LIMITED,0041502493,SHAW GTA,"",CA,NORTH YORK,ON,M6A 1P6,1 - 105 BENTWORTH  AVENUE,416-977-0700,accounts@shawlabgroup.com,Private Practice
0000043720,Les Cliniques Dentaires Transforme,0041524762,LES CLINQUES DENTAIRE TRANSFORME,LAVAL,CA,LAVAL,QC,H7S 1M9,200 - 1430 Boulevard Saint-Martin O,514-819-0995,"",DSO/GPO
0000045392,SMILE CENTRE,0041500836,North York Smile Centre,Attn: Caroline,CA,NORTH YORK,ON,M2N 6L4,130 - 5 Park Home Ave.,416 800 3160,contact@northyorkdentrecentre.com,Private Practice
0000040133,AMITY MANAGEMENT,0041515909,MILVERTON FAMILY DENTAL,PROFESSIONAL CORPORATION,CA,MILVERTON,ON,N0K 1M0,28 MAIN STREET NORTH,519-595-8196,ddersil@perth.net,DSO/GPO
0000038894,CLAREO RESEAU DENTAIRE,0041504741,CLAREO FERME NEUVE,"",CA,FERME-NEUVE,QC,J0W 1C0,99 12E RUE,819-587-4229,daniel.lacroix@sympatico.ca,DSO/GPO
0000043610,PURE ORTHODONTICS,0041524647,PURE ORTHODONTICS - RED DEER,"",CA,RED DEER,AB,T4P 0M9,105 - 6 Clearview Market Way,403 986 0402,"",DSO/GPO
0000040977,Dental Whale Canada,0041502507,DISCOVERY DENTAL,DR. MITCHEL SHIELDS,CA,Ajax,ON,L1S 6V5,9 - 570 WESTNEY ROAD SOUTH,905-428-0188,drshields@discoverydental.com,DSO/GPO
0000041377,HURON DENTAL GROUP,0041523008,KINGSVILLE FAMILY DENTAL,HURON DENTAL GROUP,CA,KINGSVILLE,ON,N9Y 1A6,200 MAIN ST E,519 916 0151,"",DSO/GPO
0000037024,123 DENTIST INC.,0041514313,NORTHERN DENTAL CARE,123Dentist,CA,SAULT STE. MARIE,ON,P6B 4Z9,101 - 432 GREAT NORTHERN ROAD,705-575-7572,northerndental_manager@123dentist.com,DSO/GPO
0000044560,DR. NAWAR TOUCHAN,0041518894,PERIODONTAL ASSOCIATES,DR. NAWAR TOUCHAN,CA,OTTAWA,ON,K1Z 8N8,408-1335 CARLING AVENUE,613 761 9604,admin@carlingperio.com,Private Practice
0000042778,DENTAL CHOICE,0041509256,WHYTE AVENUE DENTAL CHOICE,DENTAL CHOICE,CA,EDMONTON,AB,T5S 1R5,210 - 10335 178TH STREET NW,780-433-3131,accountspayable@dentalchoice.ca,DSO/GPO
0000041469,NATIONAL DENTAL CARE,0041524564,Delta Dental,National Dental Care,CA,RED DEER,AB,T4N 4E4,7151 50th AVENUE,403-347-8880,delta@nationaldental.ca,DSO/GPO
0000039934,ENDO-PERIO GROUP,0041509271,DR. JOHN WALL,UNIT 6,CA,COMOX,BC,V9M 4G1,2225 GUTHRIE RD,250-339-4044,"",Private Practice
0000033405,DENTALCORP HEALTH SERVICES ULC,0041507706,DEER VALLEY DENTAL CARE,DENTALCORP HEALTH SERVICES ULC,CA,CALGARY,AB,T2J 6G2,30 - 1221 CANYON MEADOWS DR. S.E.,403 271 6300,info@deervalleydentalcare.com,DSO/GPO
0000038901,MCA DENTAL GROUP,0041520864,Soni Dentistry,MCA Dental,CA,London,ON,N5W 5B7,400 Avondale Rd,519-453-6060,dr.brizasilva@gmail.com,DSO/GPO
0000043644,123 DENTIST LEGACY,0041524707,Bayview Dental Centre,"",CA,RICHMOND,BC,V7E 6N2,110 - 12420 #1 ROAD,604 277 2483,"",DSO/GPO
0000045551,Hammad Larson Dentistry,0041508066,ARIA DENTAL CENTRE,"",CA,LONDON,ON,N6H 3S1,640 HYDE PARK RD,519-471-3683,info@ariaimplantcentre.com,DSO/GPO
0000043431,BLUE OCEAN DENTAL GROUP,0041517355,CUMBERLAND DENTAL CENTRE,BLUE OCEAN DENTAL GROUP,CA,CUMBERLAND,BC,V0R 1S0,2763 Dunsmuir Avenue,250 336 2006,invoice@blueoceandentalgroup.com,DSO/GPO
0000042649,SMILE FIRST CORPORATION,0041518786,FAMILY DENTAL CENTRE,SMILEFIRST,CA,SARNIA,ON,N7S 6M7,1208 MICHIGAN AVENUE,519-542-5700,info@sariadental.com,DSO/GPO
0000045399,Smiles of Canada,0041513868,Mississauga Smiles Dentistry,"",CA,MISSISSAUGA,ON,L5B 3C3,102-90 BURNHAMTHORPE ROAD WEST,905 270 2003,info@mississaugasmilesdentistry.com,DSO/GPO
0000044256,FIVE POINT DENTAL SPECIALISTS,0041515290,Coronation Dental Specialty Group-G,"Drs. Diamond, Ciavarro, Furst, & Ch",CA,GUELPH,ON,N1H 3Z1,690 Woolwich Street,519 623 3810,finance@fivepointdentalspecialists.com,DSO/GPO
0000040351,"2663065 ONTARIO, INC.",0041503208,LAWRENCE AVENUE DENTAL,Dr. Lily Lo,CA,NORTH YORK,ON,M3A 1C1,101 - 1200 Lawrence Ave E,416-444-9045,"",DSO/GPO
0000040293,MYBITE CALGARY - SOUTHPORT,0041519781,MY BITE VERMILLION,MR. WADE KLIMPKE,CA,VERMILION,AB,T9X 1B7,5030 49th AVE,780 853 5887,wade@mybite.ca,Private Practice
0000044468,ORAMAX,0041520499,DR. GENEVIEVE CHIASSON,"",CA,WESTMOUNT,QC,H3Z 1B8,610-4141 SHERBROOKE QUEST,514-932-5331,genevieve.chiasson@mcgill.ca,Private Practice
0000043512,OAK DENTAL GROUP,0041519923,FOREST LANE DENTAL CLINIC,OAK DENTAL GROUP,CA,CALGARY,AB,T2A 0P9,3200 17 AVENUE SE,403-248-2280,payable@oakdentalgroup.ca,DSO/GPO
0000043605,PASSION DENTAL GROUP,0041509555,ACADEMY DENTAL - DR. SUSAN STAKIW,PASSION DENTAL GROUP,CA,VICTORIA,BC,V8V 3L1,1195 FORT STREET,250-382-2214,academyup@victoriadentist.com,DSO/GPO
0000041275,Apple Dental,0041515370,APPLE DENTAL IMPLANT CENTRE,"",CA,WHITE ROCK,BC,V4B 4Y9,1115 STAYTE ROAD,604-385-0606,whiterock@appleimplantcentre.com,DSO/GPO
0000045302,Peak Dental Group,0041520641,Franklin Dental Centre,"",CA,FORT MCMURRAY,AB,T9H 2J6,201 - 8706 Franklin Avenue,780 790 0088,samgill@peakdentalgroup.ca,DSO/GPO
0000042941,DENTAL WHALE - B CANADA,0041522899,SMILING DENTAL DUNDAS,"",CA,DUNDAS,ON,L9H 1A9,4 COOTES DRIVE,289-768-9905,hello@smilingdentaldundas.ca,Private Practice
0000043521,DENTISTES QUEBEC,0041507486,DENTISTES VILLE-EMARD,"",CA,MONTREAL,QC,H4E 3X3,5997 RUE LAURENDEAU,514 765 3365,comptabilite@dentistesquebec.com,DSO/GPO
0000039636,DMD GROUP,0041520107,FORT ST. JOHN DENTAL CLINIC,"",CA,FORT ST. JOHN,BC,V1J 1Y1,9523 - 100 AVENUE,250-785-1867,office@fsjdental.com,DSO/GPO
